id,company,educationLevel,employmentType,hiringEndAt,hiringStartAt,jobOpeningUrl,location,createdAt,maxExperienceYears,minExperienceYears,salary,title,viewCount,position,requiredSkills
1,토스,무관,인턴,2025-03-16T17:06:09.525607,2025-02-20T17:06:09.525607,https://example.com/job/1,수원,2025-02-20T17:06:09.527119,1,2,42000000,토스 클라우드 엔지니어 모집,4689,클라우드 엔지니어,"['PostgreSQL', 'JUnit', 'TestNG', 'SQLite', 'REST API']"
2,도미노피자,박사,정규직,2025-03-04T17:06:09.528451,2025-02-20T17:06:09.528451,https://example.com/job/2,부산,2025-02-20T17:06:09.528473,1,0,41000000,도미노피자 Spring 개발자 모집,4319,Spring 개발자,"['Git', 'React', 'TestNG', 'Mockito', 'Cassandra', 'Hadoop', 'Spark']"
3,하나금융그룹,학사,정규직,2025-03-19T17:06:09.528530,2025-02-20T17:06:09.528530,https://example.com/job/3,광주,2025-02-20T17:06:09.528543,5,0,71000000,하나금융그룹 데이터베이스 관리자(DBA) 모집,1560,데이터베이스 관리자(DBA),"['GitHub', 'MySQL', 'Python', 'SQLite', 'REST API', 'Apache Solr', 'Ruby on Rails', 'OAuth', 'Apache NiFi', 'Docker']"
4,KB국민카드,학사,정규직,2025-03-15T17:06:09.528603,2025-02-20T17:06:09.528603,https://example.com/job/4,광주,2025-02-20T17:06:09.528616,2,1,60000000,KB국민카드 데이터 엔지니어 모집,4995,데이터 엔지니어,"['GitLab', 'MySQL', 'PostgreSQL', 'TestNG', 'Go', 'Apache NiFi']"
5,티몬,학사,정규직,2025-03-13T17:06:09.528675,2025-02-20T17:06:09.528675,https://example.com/job/5,인천,2025-02-20T17:06:09.528688,2,1,42000000,티몬 데이터 엔지니어 모집,4741,데이터 엔지니어,"['GitLab', 'Bitbucket', 'Cassandra', 'Ruby on Rails', 'JWT']"
6,피지컬갤러리,박사,정규직,2025-03-15T17:06:09.528746,2025-02-20T17:06:09.528746,https://example.com/job/6,부산,2025-02-20T17:06:09.528759,2,2,42000000,피지컬갤러리 파이썬 개발자 모집,169,파이썬 개발자,"['GitHub', 'Firebase', 'GitLab', 'Spring Boot', 'MongoDB', 'JUnit', 'Mockito', 'Python', 'Ruby on Rails']"
7,삼성생명,전문학사,계약직,2025-03-12T17:06:09.528814,2025-02-20T17:06:09.528814,https://example.com/job/7,대전,2025-02-20T17:06:09.528827,4,1,71000000,삼성생명 데브옵스 엔지니어 모집,569,데브옵스 엔지니어,"['Git', 'Terraform', 'Elasticsearch', 'MySQL', 'Cassandra', 'Apache Solr', 'Go', 'Kubernetes']"
8,아이유브이,고졸,정규직,2025-03-03T17:06:09.528886,2025-02-20T17:06:09.528886,https://example.com/job/8,창원,2025-02-20T17:06:09.528898,5,1,41000000,아이유브이 QA 모집,3047,QA,"['Jenkins', 'Mockito', 'Oracle DB', 'Apache Solr', 'Flask', 'REST API']"
9,애드테크,전문학사,정규직,2025-03-09T17:06:09.528950,2025-02-20T17:06:09.528950,https://example.com/job/9,울산,2025-02-20T17:06:09.528961,1,1,47000000,애드테크 파이썬 개발자 모집,2566,파이썬 개발자,"['AWS', 'Java', 'Azure', 'Git', 'Terraform', 'Angular', 'Django', 'REST API', 'Spark']"
10,영림원소프트랩,무관,정규직,2025-03-20T17:06:09.529019,2025-02-20T17:06:09.529019,https://example.com/job/10,청주,2025-02-20T17:06:09.529031,4,2,43000000,영림원소프트랩 Node.js 개발자 모집,3577,Node.js 개발자,"['CI/CD', 'Redis', 'Vue.js', 'Python', 'Apache Solr']"
11,컴투스,석사,정규직,2025-03-05T17:06:09.529082,2025-02-20T17:06:09.529082,https://example.com/job/11,대전,2025-02-20T17:06:09.529095,4,2,33000000,컴투스 풀스택 모집,3193,풀스택,"['Git', 'React', 'MongoDB', 'Redis', 'Swagger', 'Oracle DB', 'Flask', 'REST API']"
12,삼성SDS,고졸,정규직,2025-03-01T17:06:09.529143,2025-02-20T17:06:09.529143,https://example.com/job/12,대구,2025-02-20T17:06:09.529155,4,1,38000000,삼성SDS 데이터 엔지니어 모집,4069,데이터 엔지니어,"['Firebase', 'CI/CD', 'JUnit', 'Mockito', 'OAuth', 'Ruby on Rails', 'Kubernetes']"
13,유한양행,전문학사,아르바이트,2025-03-17T17:06:09.529201,2025-02-20T17:06:09.529201,https://example.com/job/13,부산,2025-02-20T17:06:09.529211,2,1,62000000,유한양행 Java 개발자 모집,4917,Java 개발자,"['GitLab', 'PostgreSQL', 'CI/CD', 'React', 'Django', 'Flask', 'Apache Solr', 'Apache Camel', 'Docker']"
